tweet_id,text,sentiment,my_emotion
2363,@ MajorPoonia Gaddar loag bhi ajib hote hain khate hain ghar ki aur help karte hain padoshi ki ye abdulla mehbuba consress ki paidaish hai,negative,anger
6486,@ Bhar _ me _ jao @ notyour _ gaaarl Mainu samajh ni aaundi ki pakistan de saare account fake pics daal kar prove ki karna … https // t . co / nlycpoH99A,neutral,anger
22917,Kyu BJP k piche lattu ki tarah ghum rahe hain @ Shehzad _ Ind har waqt BJP walo ko khush karne k liye aise tweets ka … https // t . co / bl21vtA7OW,negative,anger
28780,@ sardanarohit Rohit sir ye congress ky chautu suru ho gaye gyan paylny may ki sabsay bada 🦉 baba ka chatu kaun hai,negative,anger
32242,Sir syasat in ka dhanda hai inhen agar sharam ati hoti to aaj Sindh ki yeh halat nahi hoti https // tco / 4OYkhzuBM9,neutral,anger
19295,@ RoflGandhi _ Absolutely not agreed Congress ko jalan hai humare Muslim vote bank kyun humko vote nahi de rahe .. Owa … https // t . co / d7GdM0x0P1,negative,anger
24585,@ sherryontopp Behan ke lodey dekh tere chahte Pakistan mein hinduo ka bina mushkil ho gaya Ram Kal ki 2 betiyon ka … https // t . co / pkYdrFFj17,negative,anger
38975,@ TahirMughalPml1 @ Asimrafi9 Kaan Mian Baat Ki Phir ISS Ki Behan Ko Bataia K Harami Brother Say Kaho K Kamm Bhonka K … https // t . co / 5rVKOMGGyQ,negative,anger
28113,Itna gussa araha hai saala roz post dekhti thi . Pata hi nahi chalta kya horaha peeche se this is really sad /// . S … https // t . co / v3q4RMLQuL,negative,sadness
17049,@ jaitushar 5sal me dhara 370 nahi hata sake mahbuba k saath sarkar calaye patharbajo ko chodadiya ram mandir pe dho … https // t . co / 6x0FzCXB6z,negative,anger
13637,Maa ki gaali deta h Or kahta h ladkiyon ki respect karta hoon 🖕🖕🖕🖕 Bhaiyo iska karta rahta hai Jo maa ko gaali de k … https // tco / 4Dxpn0l0N6,negative,anger
8085,@ warispathan Modi chacha is right soch badlo Desh badlega jo kaam kr rha Desh k liye usko to krne do kaam … https // t co / NdCxVdGILi,positive,trust
38953,Juth bolne me inko koi compete nahi kar sakta https // t co / cto3yfCRS6,neutral,anger
16655,RT @ awsmstudent @ naidu _ rajgopal Jo iss lrki ko mara hai hmlog chahte hai ki wo lrki iss larke ko isse v buri tarah se kute aur video socia …,negative,anger
14831,@ anjanaomkashyap 4- jabki main to nokri karne wala person tha 5- kisi ko nokri se nikal de ki tumhari jyda sallry … https // t co / OYDVLBjh3R,neutral,sadness
13320,@ KashmirIntel _ @ aarifshaah Sale gandu Kashmir mee 82lakh Muslim haa 35lakh Hindu 7lakh Buddhist sharm karo kargil m … https // t . co / nXC7t9tV1a,negative,anger
12795,@ Selvan33804547 @ Alpha _ crusader _ @ TVijayarahavan Kyu be madarchod ?? English teri ma chudane bolta je bhadve ... teri … https // t . co / cMU2Be0c75,negative,anger
28642,@ sherryontopp Sir now u r not on top jo jaise boyega vaisa hi payega aapne modi ko seema bahar fekne ki baat ki … https // t co / qZ62wz2vzw,negative,anger
13068,Ab to bologe he jub election ho chuka ... desh Modi ne to jo duboya wo duboya par tum jaise chatukaro ka bahut bada … https // t . co / sGxDcx1akw,negative,anger
28567,@ S _ cintillating @ tamashbeen _ Boycott toh bahana hai asal Mai koi mu dikhane layak bacha nahi hai,neutral,anger
13242,@ anjanaomkashyap @ mayachauha Media wale agar Congress se kadak sawal karle to woh BJP ke Dalal kehlate hai . Au … https // t . co / 3ImDkNnn41,negative,anger
10184,RT @ VishalRC007 They Write Paid & Fake Article For Some Money ??? Ye Bachcho Vaali Harkate Na Bachpan Mai Achhi Lagti Hai Esi Cheap Hark …,negative,anger
14133,@ anuragspparty Bhadouria ji ko nai pata Zara anpadh hai literate not educated Inhe lagta hai ki debate me chil … https // t co / KPN7j3wxy1,negative,anger
8900,@ KapilMishra _ IND Delhi should be replaced by Congress Jitni aag Suraj se nikal rahi hein uuse jyda AAG to abhi Congress me lagi hein .,neutral,anger
37063,Sarfraz ka windies k khilaf aankhe band kar k match khelne ka faisla . Agar aankhe khul gai to direct mu se niklega … https // t . co / CVF07sWHX1,neutral,anger
44188,GOVT ki rit ko jo bhi challenge karay ga usko rooka jay ga Iss nay kissi jagha hamla nahi kia PTV per hamlay ka … https // t co / 9f9hMk5DMn,negative,anger
29007,@ AnkushMourya11 @ MumbaiPolice @ MahaCyber1 @ Brijeshbsingh @ Dev _ Fadnavis @ narendramodi Ankush maurya aur tu sabse bade wala chutiya sale,negative,anger
44431,@ sardesairajdeep Notbandi me feku bhakt Media ne sahi reporting nhi kisurgical strike se kya fayda huva ?? kyu ki su … https // t . co / ZOp5Yz4Z6I,negative,anger
43960,@ tufailelif I think you don't know anything about Gujrat riots . From 2002 to 2014 and even later not even a single … https // t . co / kYxZpi5yRS,neutral,anger
14958,RT @ syedKashaf95 Should i beg PM Modi for my life ? AIMIM President Barrister Asaduddin Owaisi Quoets @ kunalkamra88 tweet Raju Bangay …,neutral,anger
16397,@ mitalishah121 Lagta hai Gautam bhi secular various ne kaat khya hai ye Jyeda din BJP me tik nahi payega savitri ba … https // t . co / lZRViBNhJM,neutral,anger
31297,@ luckymishr @ upen90 Toh tu kya Hai Saale ? Hum jisko cahte hai usko vote dete hai tera problem kya hai ? Saale Haan … https // t . co / LrTyfvsLcq,negative,anger
24466,@ SanjeevYadav _ IN @ yadavakhilesh Waise bjp ko bolna chaiye tha o se 10 to k jivit kara Diya babua ne chalo acaha hI … https // t . co / uMx1X3U6J0,neutral,anger
9258,@ Abhinav14038869 @ ModiLeDubega Abey khandaani chor . Tu chor Hai to har koi chor dikhega he . Rahi chatne ki vo tumse … https // t . co / K9RH1ZkNCg,negative,anger
43466,@ Mahende67015515 Farzi rashtrawad h aapka Jo din me dharti ko 5 bar matha lgata h usse zabrdsti nhi bulwa sakte U … https // t co / 6wQf6hD5Rf,negative,anger
19164,@ pbhushan1 Accha bsdk Ye bata ye hacking / swapping 3 pradesh ki Vidhan sabha mein kab aur kaise hua ?,negative,anger
44225,@ ppbajpai Paglaa gye ho Shayad MODI ji ke Jitne pr itni kyu Takhlifff Zindaa nhi rahnaa hai to MARO … https // t co / qZKBtK1HMa,negative,anger
39629,@ JhaSanjay Garibo ki baat karne wale aaj kutte ki maut par aansu baha rahe hai .... kitne garib kutta palte hai ?? Kab … https // t . co / fcwgSmYY8k,negative,anger
39704,@ KhawajaMAsif Ur yeh Dhun Pakistan laya Pakistan say bahir nahi lay kr gaya Papri walay k A / C say .,neutral,anger
11598,@ CyclicSoul @ shossain35 @ saileenas @ ashish _ nucmed @ KolkataPolice @ WBPolice Also Jai Shri Ram,neutral,anger
10173,@ gujratsamachar Sambhaljo 52 sansad ne bjp paisa aapi ne nahi lai jay bjp atale paisa wali party loksabha ni chutn … https // t . co / POid4gof8b,neutral,anger
28543,@ Saj _ PakPassion Drugs leta he BC dope test karao 4 sal k lye bahir hoga .,negative,anger
17605,Janta ko nahi muslmano ko condom dena hoga https // t . co / B2aNxWg235,negative,anger
41983,Log kahenge ye west indies ne Kiya .. par mujhe to ye Amit Shah ka hi effect lag Raha hai .. pure Pakistan ki hawa tight ho gayi ...# PAKvWI,negative,anger
37618,@ dharmendra2100 @ meetmukul25 @ DesiStupides @ AcharyaPramodk EVM hai to modi hai EVM nahi to modi bhi nahi Dobara gul … https // t . co / NnnTEgw3Kz,neutral,anger
20381,@ KashmirFirst _ @ SnehaNa13439620 😂 I don't want to talk madarsa chaap chutiyas like you . But I will until you stop talking like a pig .,negative,anger
19888,Wala ka lang talagang sense of fashion tsaka wala ka ring Common Sense . Bakit naka pajama at longsleeves ba manamit … https // t . co / cpmRiHKFhZ,neutral,anger
28570,@ AbsaKomal @ TarekFatah Tarek Fateh sb ... nahi khanzeer kaho isay ... agar isay kutta kaho tu kutty ki taoheen ho gi k … https // t . co / 1fIcPTcSVR,negative,anger
28395,RT @ SyedMur99641654 @ shameenyusafzai @ SarahA _ 84 @ HumairaYousafi Ehram ki haalat may aurat chehra nahi chupaati Sharii masla hay Damm lazi …,neutral,trust
25981,@ sonamJain001 Nahi madam main nahi bolunga Sidhu k lia BJP ka 300+ hua hai 2024 Mai ohi to 400par karayega,positive,trust
30701,@ AmnaRaoIsLit Feselite walu k pas achi shirts hoti hen main ne un se kafi bar mngwai hai and they are shipping from karachi ..,positive,trust
38986,@ igippygrewal @ yourjaani @ igippygrewal album deh ek gaane ch as aa model @ sargun _ mehta mam nu jarur leyoo .. what aa … https // t . co / 1fzl0OxWgt,neutral,joy
40954,RT @ cyalayIa Anybody else in love with vada ?,neutral,joy
6534,@ narendramodi congratulations modi once more modi sarkar chali to chali modi lahar chali har Sahar Sahar har gaaon … https // t . co / SCKbDkNFd3,positive,joy
21824,It was nice to be with @ AM _ Hume @ YunusJawaheer @ Dan __ Couture # CRAconnEXionsARC Great event wonderful people https // t co / u5jf2lncIr,positive,joy
42514,@ aapkadharam Lots of love to you Dharam ji !!! You are a true ICON of NEVER DYING SPIRIT . SON of soil and always a … https // t . co / mvXiDsr7Bh,positive,joy
12929,RT @ imVkohli Fun times with the boys 😎💪🤙 https // t . co / f3vAuYiRWQ,neutral,joy
15730,@ Suryavanshi8888 @ narendramodi @ manojsinhabjp Sabke dil me raj karane vale karmathi neta Manoj sinha ji Zindabad Zi … https // t . co / CQrlymRfnI,neutral,trust
21566,RT @ jjanggboomm MY BABYYY LOOKKS SO HANDSOME UHH I COULDN'T EXPRESS THIS EXCITEMENT BY WORDS https // t . co / d6QXyhhgyK,positive,joy
7683,@ narendramodi Heartiest Congratulations to you and your Team sir !! Sachmuch seena chauda ho gaya Jab aapko vapas PM … https // t . co / TKJpiSFT54,positive,joy
12045,RT @ KapilSh53407399 @ ravimla1857 adarniya ravi bhai sahab aap ko bjp ki jeet par bahut bahut subhkamnaye . Ab vesno devi mai ke darsan kar …,positive,joy
24732,@ IamSeeratKapoor I love you so much seerat Kapoor . Yours lookings is very beautiful and sexy . I am a big fan of y … https // t . co / 40KttwWOUc,positive,joy
13051,@ kpmaurya1 @ BJP4India @ BJP4UP yuvaou ke chahete Mourya ji ko pradesh ki bhari jeet ke liye bahut bahut badhai our dher sari shubh kamnai,positive,joy
43672,SABHI Desh wassion ko bahut bahut BADHAAI ho Aaj 2014 ke baad Sh MODI JI PHIR SE dusari baar Bharat ke PRIME MINIST … https // t . co / xmPhtM4CzG,positive,joy
25530,RT @ its __ funn Happy Birthday Basanti May you have thousands more 😊😊,positive,joy
38762,Baji ka confidence 😂 mai apki fan hogyi hun yarrr 😂😂😂😂 https // t . co / R1qwV7p9Ti,positive,joy
43688,@ narendramodi congratulations and best of luck sir for your second term Bajrang Bali aako Shakti de,neutral,joy
3204,Kuya khel kaninang 1111 nag wish ako na sana magkita tayoooo !😂 pa meet and greet kanaman dyan oh ! Para makapag p …… https // tco / A1r0aNZGKR,positive,joy
19694,@ narendramodi Modi ji bohot bohot bohot shubhakamanyen . Aapane sach main poori nishtha aur IMANDARI se desh ki aur … https // t . co / 81EL7wOQDX,positive,joy
21977,RT @_ AERiGiRL Ahhhh . Hindi pla nagsend . Thank you Ate Dhang Jullenors and bebeb Sheine . I love you frennies . Lucky to have you guys . 😭😭…,positive,joy
19780,@@ PapaJi92531904 27 feb ko bhi 12 jahazo ka jhund aya tha sirf 2 JF 17 ne maa chood di pory india ki hehehehehe # GayHind I liked that .,negative,anger
22961,@ hae _ club no its still i love marta,neutral,joy
842,RT @ arydigitalasia Apki aik gawahi ne Mannat ko pagal saabit kerdia hai ... Watch # Cheekh tonight at 1000 PM only on # ARYDigital https /…,neutral,trust
15454,Aap sabhi # pakistani logo ko pichwada bhut bhut mubarak ho ... BTW outshallah boys played well 😂😂 # pakistanithings … https // t . co / IWTwjZDm3k,negative,joy
21738,@ kinzu786786 Ay ki 🤔🤔 Sharm to options m tha e nhi 😂,neutral,joy
13327,RT @ harini _ mk # NGK I was impressed by her acting @ Rakulpreet she was really bold and a perfect character ! Vanathi the song Anbae . We we …,positive,trust
44937,# BeWise _ ChooseRight @ Gurmeetramrahim Good afternoon guru g Bless us and give us power 2 do more nd more Sewa Sim … https // t co / vBj2YiiULY,neutral,trust
37614,RT @ iamsrk Busy ... busy ... busy ! Time to think out of the box on Ted Talks ! Listening and Learning . # TedTalksIndiaNayiBaat .. On @ StarPlus @ T …,neutral,trust
27987,New sarkaar bante hi ye kaam bahut achchha kiya hi modi ji ne Thanks modi ji # saraabbant … https // t . co / jd3oZZUWyD,neutral,trust
13504,@ 09Chahal Koe tension aali baat nahi bhai congress aalyan ke to phla t e kutte fail ho rhe the JJP ki bhi chappal tutgi 😂😂🤣🤣🤣🤣🤣,negative,anger
16164,# WomenOfCourage Good morning Sohne pyare Rabb @ Gurmeetramrahim sai ji DhanDhan Satguru tera hi aasra 🙏 Bless me p … https // t . co / MoOA6PcdFF,neutral,trust
22511,No doubt .. Muhammad Ilyas qadri sahab ne lakho logo ko gunaho ke daldal se Nikal ker neki ki dawat ki taraf laga hai ..!! # HBilyasqadri,positive,trust
8719,Thank you my dear AIB ...🎼 For every funny video that you made ...🎼 For each & every smile on my face ...🎼 the new … https // t . co / oAwQZErpaT,positive,joy
28863,@ anjanaomkashyap Ujjawala yojna sabse jyda effective raha kyonki maximum ladies ne bjp ko vote diya h,negative,trust
20551,@ mlkhattar That is why we love you Khattar sahab ... Haathi chale Bazaar .. My wife is a professor in Delhi School of … https // t . co / EaVWCujeSA,neutral,joy
44914,@ DesiStupides Sir im your big fan seriously Aapke har ek us interview ko salaam jo aapne bade bade diggajo Ki hav … https // t co / Xq5RY70EiJ,positive,trust
2703,@ WertesFraeulein Long before rock n roll und you can ‘ t Steal my Love von Mando diao ; don ‘ t matter ( Kings of leon );… https // t co / lvSzReM2vB,positive,joy
38884,RT @ N _ Loves _ Angel Cute @ KapilSharmaK9 Angel 😍❤😘💕 With sweet mummy 😚❤ N @ BeingSalmanKhan 😒😏 🌹🌹🌹🌹🌹🌹🌹🌹🌹 Subh Ratri Priyee # NinniKaAngel …,positive,joy
13811,RT @ f5ba5030514d4e3 @ RifatJawaid @ lubnaurifat Haar k bhi congressi ne paise diye so nice of them 😊,neutral,anger
21889,@ Call _ Me _ Wajjo @ OMG _ its _ Khann Aw that is so sweet of you zaror zaror InShaAllah 😍😍,positive,joy
2693,@ NityaTripathi18 But hamari to abhi saadi hi nahi hui to hame to pta hi nahi hai ager mere sath tumari sadi ho jay … https // t . co / bIZfEMxLeW,negative,joy
704,@ GauravGarg888 @ PrashantMavani sir # prashant _ dhawan is kohinoor of study iq he is the best teacher of current aff … https // t co / 1Jdprmlpvi,positive,trust
22781,@ rebelawyer @ sanjayuvacha Cricket World Cup - Jitega to India hi,positive,trust
5044,@ partisanofKhan MashaAllah they bothlook good . Patwari & media walay Jaltay hain Jalkukkar .,positive,trust
17334,@ Amirasalaah74 Happy birthday ya 2mr w rbna ywf2k 💖💖,positive,joy
19102,# ModiSarkar2 # ModiSwearingIn Bharat Maata Ki Jai Vande Maatram स्वस्ति न इन्द्रो वृद्धश्रवाः। O स्वस्ति नः पू… https // t co / 4tsA2qyPSV,neutral,trust
8468,@ kunalkamra88 “ Bhar do jholi meri ya Muhammad ” https // t . co / uLCezQkSwH,positive,trust
2913,@ sambitswaraj No Problem Jeetenge jarur jeetenge but you fight awesome .,positive,trust
40710,RT @ secretive _ soul _ Finally this sequence came out of the flashback and happened in real 😍😌 Dhanyawad Maate Kuch toh accha kaam kiya aa …,positive,joy
5258,@ narendramodi Congratulations on your Huge Win one question Kya aap Pradhanmantri Aaarakshan ke aadhar par bane h … https // t co / LM2ZN7UonV,neutral,trust
18280,@ shammakaira Pura roza kharb kardiya inhony bus esi ki tension me hot I hun leap k bad kiya hoga,negative,sadness
